,df,dhf,dengue_cases,daily_rainf_total,highest_30min_rainf,highest_60min_rainf,highest_120min_rainf,mean_temp,max_temp,min_temp,mean_wind_speed,max_wind_speed,dengue_searches,dengue_fever_searches,dengue_symptoms_searches,daily_rainf_total_squared,highest_30min_rainf_squared,highest_60min_rainf_squared,highest_120min_rainf_squared
2012-01-29,84.0,1.0,85.0,0.6,0.6,0.6,0.6,27.2,31.4,25.2,8.4,28.4,7.0,5.0,2.0,0.36,0.36,0.36,0.36
2012-02-05,87.0,0.0,87.0,4.0,1.4682960183062181,1.4682960183062181,1.7765846047942724,26.97142857142857,30.542857142857144,24.785714285714285,12.214285714285714,34.6,5.0,5.0,0.0,16.0,2.155893197373894,2.155893197373894,3.156252857992021
2012-02-12,65.0,0.0,65.0,3.685714285714286,0.8083081728005437,1.1583135392440844,1.7547455953382232,26.228571428571428,29.5,23.82857142857143,7.814285714285715,34.214285714285715,8.0,4.0,2.0,13.584489795918369,0.6533621022161535,1.3416902551961571,3.0791321043588953
2012-02-19,50.0,1.0,51.0,4.0,2.7014708876097187,3.206599977034954,3.2251744494436627,26.914285714285715,31.3,24.471428571428568,7.357142857142857,28.04285714285714,6.0,7.0,3.0,16.0,7.297944956602841,10.282283412720568,10.401750229344232
2012-02-26,55.0,0.0,55.0,1.2285714285714289,0.8719967947822577,0.9166649824122988,0.9625121715519371,26.599999999999998,30.599999999999998,24.400000000000002,8.585714285714285,30.857142857142858,6.0,3.0,0.0,1.5093877551020416,0.7603784101105308,0.84027468998094,0.9264296803856257
2012-03-04,45.0,1.0,46.0,7.957142857142857,0.9472366909950873,1.4580865259657116,2.5837741233819047,26.485714285714288,30.17142857142857,23.942857142857143,10.542857142857143,33.17142857142857,6.0,3.0,2.0,63.31612244897959,0.8972573487673225,2.1260163172027577,6.67588872065793
2012-03-11,64.0,0.0,64.0,0.2285714285714286,0.2285714285714286,0.2285714285714286,0.2285714285714286,27.5,31.585714285714285,24.814285714285713,11.9,34.4,7.0,4.0,1.0,0.05224489795918368,0.05224489795918368,0.05224489795918368,0.05224489795918368
2012-03-18,72.0,1.0,73.0,5.457142857142857,2.0625488891944586,2.3534323936728967,2.8237485624327086,26.67142857142857,30.942857142857143,23.97142857142857,7.914285714285714,30.942857142857143,8.0,4.0,1.0,29.780408163265307,4.254107920317295,5.53864403158894,7.973555943840788
2012-03-25,48.0,0.0,48.0,0.4571428571428572,0.4571428571428572,0.4571428571428572,0.4571428571428572,27.7,31.485714285714288,25.47142857142857,9.814285714285715,29.47142857142857,6.0,3.0,2.0,0.20897959183673473,0.20897959183673473,0.20897959183673473,0.20897959183673473
2012-04-01,52.0,0.0,52.0,3.7714285714285714,1.7380186417550612,2.0097805248106453,2.521788933327233,27.142857142857142,31.67142857142857,24.97142857142857,7.542857142857143,33.81428571428571,4.0,5.0,2.0,14.223673469387755,3.0207087990881076,4.039217757908153,6.359419424251705
