,dengue_cases,daily_rainf_total,highest_30min_rainf,highest_60min_rainf,highest_120min_rainf,mean_temp,max_temp,min_temp,mean_wind_speed,max_wind_speed,dengue_searches,dengue_fever_searches,dengue_symptoms_searches
2012-01-01,74.0,0.6,0.0,0.0,0.0,27.2,31.4,25.2,8.4,28.4,7,5,2
2012-01-08,66.0,4.0,0.0,0.0,0.0,26.97142857142857,30.542857142857144,24.785714285714285,12.214285714285714,34.6,5,5,0
2012-01-15,61.0,3.685714285714286,0.0,0.0,0.0,26.228571428571428,29.5,23.82857142857143,7.814285714285715,34.214285714285715,8,4,2
2012-01-22,52.0,4.0,0.0,0.0,0.0,26.914285714285715,31.3,24.471428571428568,7.357142857142857,28.04285714285714,6,7,3
2012-01-29,85.0,1.2285714285714289,0.0,0.0,0.0,26.599999999999998,30.599999999999998,24.400000000000002,8.585714285714285,30.857142857142858,6,3,0
2012-02-05,87.0,7.957142857142857,0.0,0.0,0.0,26.485714285714288,30.17142857142857,23.942857142857143,10.542857142857143,33.17142857142857,6,3,2
2012-02-12,65.0,0.2285714285714286,0.0,0.0,0.0,27.5,31.585714285714285,24.814285714285713,11.9,34.4,7,4,1
2012-02-19,51.0,5.457142857142857,0.0,0.0,0.0,26.67142857142857,30.942857142857143,23.97142857142857,7.914285714285714,30.942857142857143,8,4,1
2012-02-26,55.0,0.4571428571428572,0.0,0.0,0.0,27.7,31.485714285714288,25.47142857142857,9.814285714285715,29.47142857142857,6,3,2
2012-03-04,46.0,3.7714285714285714,0.0,0.0,0.0,27.142857142857142,31.67142857142857,24.97142857142857,7.542857142857143,33.81428571428571,4,5,2
2012-03-11,64.0,7.514285714285714,0.0,0.0,0.0,26.928571428571427,30.557142857142857,24.12857142857143,6.442857142857143,31.985714285714288,5,4,1
2012-03-18,73.0,17.914285714285715,0.0,0.0,0.0,26.642857142857142,30.12857142857143,24.314285714285713,8.385714285714286,31.371428571428574,9,5,3
2012-03-25,48.0,1.0,0.0,0.0,0.0,27.514285714285712,31.842857142857138,25.12857142857143,6.3,30.27142857142857,10,4,3
2012-04-01,52.0,18.142857142857142,0.0,0.0,0.0,27.17142857142857,31.67142857142857,24.142857142857142,6.6000000000000005,36.75714285714286,7,5,2
2012-04-08,82.0,4.3999999999999995,0.0,0.0,0.0,27.228571428571428,30.842857142857145,24.142857142857142,6.571428571428571,35.01428571428571,7,3,3
2012-04-15,77.0,22.057142857142857,0.0,0.0,0.0,27.2,31.12857142857143,24.271428571428572,6.5,30.32857142857143,3,3,3
2012-04-22,64.0,6.485714285714286,0.0,0.0,0.0,27.542857142857144,31.142857142857142,24.942857142857143,6.071428571428571,29.928571428571427,8,5,1
2012-04-29,88.0,0.3714285714285714,0.0,0.0,0.0,28.385714285714283,32.2,25.62857142857143,6.414285714285714,31.385714285714283,9,5,2
2012-05-06,97.0,16.97142857142857,0.0,0.0,0.0,27.67142857142857,31.714285714285715,24.085714285714285,5.871428571428572,36.0,8,5,2
2012-05-13,80.0,6.914285714285714,0.0,0.0,0.0,27.82857142857143,32.114285714285714,24.314285714285713,6.457142857142857,33.628571428571426,9,3,3
2012-05-20,80.0,7.485714285714286,0.0,0.0,0.0,28.685714285714287,31.87142857142857,25.057142857142857,6.871428571428572,33.72857142857143,6,3,1
2012-05-27,81.0,5.742857142857143,0.0,0.0,0.0,28.342857142857145,31.157142857142855,25.157142857142855,8.271428571428572,31.114285714285717,8,5,3
2012-06-03,100.0,4.971428571428571,0.0,0.0,0.0,28.17142857142857,31.342857142857145,25.599999999999998,7.014285714285714,29.885714285714283,7,4,3
2012-06-10,88.0,5.971428571428572,0.0,0.0,0.0,28.52857142857143,31.428571428571427,25.785714285714285,6.742857142857143,31.557142857142857,7,3,2
2012-06-17,129.0,0.0,0.0,0.0,0.0,29.24285714285714,31.942857142857143,27.24285714285714,10.742857142857144,31.014285714285712,9,4,3
2012-06-24,151.0,0.14285714285714285,0.0,0.0,0.0,28.842857142857145,31.957142857142856,26.685714285714287,10.385714285714286,34.0,8,3,4
2012-07-01,140.0,1.9428571428571428,0.0,0.0,0.0,28.514285714285712,31.442857142857143,26.057142857142857,9.685714285714285,36.51428571428572,9,5,3
2012-07-08,132.0,9.114285714285714,0.0,0.0,0.0,27.25714285714286,30.342857142857145,24.328571428571426,7.8,35.58571428571429,12,6,4
2012-07-15,125.0,4.971428571428571,0.0,0.0,0.0,27.385714285714283,30.24285714285714,25.314285714285713,8.457142857142857,32.971428571428575,9,7,3
2012-07-22,110.0,4.057142857142858,0.0,0.0,0.0,27.385714285714283,30.62857142857143,25.142857142857142,7.3428571428571425,29.571428571428573,9,6,1
2012-07-29,94.0,0.0,0.0,0.0,0.0,28.542857142857144,31.685714285714287,26.17142857142857,12.014285714285714,37.08571428571429,4,4,3
2012-08-05,127.0,3.3999999999999995,0.0,0.0,0.0,28.214285714285715,31.114285714285717,25.74285714285714,12.314285714285715,35.31428571428571,8,5,3
2012-08-12,115.0,0.0,0.0,0.0,0.0,28.414285714285715,31.61428571428571,26.02857142857143,12.785714285714286,36.25714285714286,7,3,1
2012-08-19,92.0,4.4,0.0,0.0,0.0,28.3,31.342857142857145,25.37142857142857,12.842857142857143,40.528571428571425,4,3,1
2012-08-26,102.0,4.457142857142857,0.0,0.0,0.0,28.04285714285714,31.099999999999998,25.62857142857143,10.385714285714286,40.142857142857146,8,3,3
