Category: All categories

Week,Dengue: (Singapore),dengue fever: (Singapore),dengue symptoms: (Singapore)
2017-01-01,13,6,3
2017-01-08,12,3,1
2017-01-15,12,4,3
2017-01-22,9,3,3
2017-01-29,9,0,0
2017-02-05,11,4,4
2017-02-12,9,1,3
2017-02-19,11,4,1
2017-02-26,11,3,1
2017-03-05,11,3,3
2017-03-12,13,4,2
2017-03-19,10,2,3
2017-03-26,11,2,5
2017-04-02,13,3,3
2017-04-09,8,2,2
2017-04-16,11,4,3
2017-04-23,8,4,1
2017-04-30,11,2,5
2017-05-07,9,3,3
2017-05-14,11,3,2
2017-05-21,15,3,4
2017-05-28,13,4,4
2017-06-04,11,4,5
2017-06-11,14,4,3
2017-06-18,11,2,2
2017-06-25,10,4,1
2017-07-02,12,4,3
2017-07-09,14,5,6
2017-07-16,12,5,2
2017-07-23,12,3,2
2017-07-30,9,0,3
2017-08-06,10,4,2
2017-08-13,13,6,2
2017-08-20,12,3,2
2017-08-27,8,2,1
2017-09-03,10,4,3
2017-09-10,9,2,1
2017-09-17,11,4,2
2017-09-24,12,4,3
2017-10-01,11,5,1
2017-10-08,10,4,3
2017-10-15,14,5,5
2017-10-22,12,3,2
2017-10-29,12,2,2
2017-11-05,11,4,3
2017-11-12,12,3,2
2017-11-19,10,4,2
2017-11-26,12,4,3
2017-12-03,13,4,1
2017-12-10,12,4,2
2017-12-17,10,3,1
2017-12-24,6,2,1
2017-12-31,9,3,2
2018-01-07,15,5,3
2018-01-14,10,3,3
2018-01-21,14,4,2
2018-01-28,10,4,1
2018-02-04,9,4,3
2018-02-11,9,4,3
2018-02-18,10,3,2
2018-02-25,8,2,2
2018-03-04,10,3,2
2018-03-11,8,5,1
2018-03-18,10,4,1
2018-03-25,10,2,2
2018-04-01,11,6,4
2018-04-08,9,4,2
2018-04-15,7,3,1
2018-04-22,8,2,1
2018-04-29,18,5,3
2018-05-06,29,8,5
2018-05-13,13,4,2
2018-05-20,21,4,3
2018-05-27,13,3,3
2018-06-03,12,3,2
2018-06-10,14,5,2
2018-06-17,10,3,3
2018-06-24,10,1,2
2018-07-01,9,3,3
2018-07-08,12,3,1
2018-07-15,12,3,4
2018-07-22,11,4,4
2018-07-29,12,3,2
2018-08-05,11,4,1
2018-08-12,8,3,1
2018-08-19,9,3,2
2018-08-26,9,3,4
2018-09-02,9,3,0
2018-09-09,11,3,2
2018-09-16,12,3,2
2018-09-23,10,3,3
2018-09-30,9,4,2
2018-10-07,8,5,2
2018-10-14,8,2,2
2018-10-21,9,3,1
2018-10-28,11,2,2
2018-11-04,12,3,1
2018-11-11,10,3,2
2018-11-18,10,3,2
2018-11-25,15,4,4
2018-12-02,18,4,3
2018-12-09,12,3,2
2018-12-16,14,4,2
2018-12-23,12,3,3
2018-12-30,12,5,0
2019-01-06,20,6,3
2019-01-13,20,5,3
2019-01-20,19,4,3
2019-01-27,18,6,2
2019-02-03,18,7,3
2019-02-10,26,8,4
2019-02-17,20,4,4
2019-02-24,18,6,3
2019-03-03,16,4,3
2019-03-10,12,4,2
2019-03-17,14,4,1
2019-03-24,12,3,2
2019-03-31,14,4,4
2019-04-07,16,4,2
2019-04-14,15,3,2
2019-04-21,15,4,3
2019-04-28,15,5,4
2019-05-05,17,6,4
2019-05-12,22,5,4
2019-05-19,20,5,5
2019-05-26,31,7,8
2019-06-02,27,5,6
2019-06-09,28,7,6
2019-06-16,42,10,8
2019-06-23,44,13,9
2019-06-30,42,10,9
2019-07-07,44,13,8
2019-07-14,45,11,8
2019-07-21,45,12,8
2019-07-28,53,11,8
2019-08-04,52,10,9
2019-08-11,45,12,8
2019-08-18,41,9,8
2019-08-25,34,9,5
2019-09-01,34,9,6
2019-09-08,31,7,6
2019-09-15,32,7,4
2019-09-22,23,5,3
2019-09-29,22,4,4
2019-10-06,21,4,4
2019-10-13,23,6,3
2019-10-20,20,5,4
2019-10-27,21,4,4
2019-11-03,27,6,6
2019-11-10,29,5,6
2019-11-17,30,8,5
2019-11-24,27,7,5
2019-12-01,21,6,4
2019-12-08,20,6,2
2019-12-15,21,7,4
2019-12-22,26,9,5
2019-12-29,21,8,4
2020-01-05,30,9,6
2020-01-12,35,8,5
2020-01-19,27,8,3
2020-01-26,25,6,4
2020-02-02,22,6,3
2020-02-09,47,9,6
2020-02-16,52,11,6
2020-02-23,30,6,3
2020-03-01,28,8,4
2020-03-08,29,5,4
2020-03-15,25,5,4
2020-03-22,35,8,5
2020-03-29,22,5,4
2020-04-05,21,4,3
2020-04-12,17,3,3
2020-04-19,29,3,3
2020-04-26,22,5,3
2020-05-03,24,3,4
2020-05-10,34,8,4
2020-05-17,33,6,7
2020-05-24,31,7,4
2020-05-31,51,8,7
2020-06-07,64,13,9
2020-06-14,75,10,10
2020-06-21,78,12,13
2020-06-28,70,12,14
2020-07-05,64,11,13
2020-07-12,77,11,13
2020-07-19,100,14,12
2020-07-26,76,13,13
2020-08-02,76,13,10
2020-08-09,67,10,11
2020-08-16,57,10,9
2020-08-23,53,7,9
2020-08-30,46,6,8
2020-09-06,36,6,5
2020-09-13,32,4,6
2020-09-20,34,4,6
2020-09-27,27,3,5
2020-10-04,23,3,4
2020-10-11,25,3,6
2020-10-18,23,4,3
2020-10-25,23,5,5
2020-11-01,17,3,4
2020-11-08,17,3,3
2020-11-15,18,4,2
2020-11-22,16,2,4
2020-11-29,17,4,4
2020-12-06,12,1,1
2020-12-13,11,3,1
2020-12-20,11,2,2
2020-12-27,8,1,2
2021-01-03,11,2,1
2021-01-10,11,1,2
2021-01-17,10,2,2
2021-01-24,11,2,2
2021-01-31,9,2,1
2021-02-07,10,1,0
2021-02-14,11,2,1
2021-02-21,10,0,2
2021-02-28,12,2,2
2021-03-07,10,3,2
2021-03-14,10,1,1
2021-03-21,11,2,3
2021-03-28,11,1,1
2021-04-04,7,1,1
2021-04-11,10,0,2
2021-04-18,10,2,2
2021-04-25,13,1,0
